geo_area;geo_prov;All DS TB patients in cohort;DS TB patients who completed treatment or were cured;DS TB patients who died;DS TB patients who were lost to follow up;Medical scheme coverage (ave);Number of TB tests conducted;Percentage of target tested for TB;Population density;TB DS client lost to follow up rate;TB DS death rate;TB MDR client death rate;TB/HIV co-infected client on ART rate (ETR.Net)
NM Molema DM: DC38;NW;2794;1703;95;70;11,34;23244;46,802;32,572;2,5;3,4;0;90,02
Nongoma LM: KZN265;KZ;677;366;54;5;;;;;0,74;8;0;97,12
North West: NW;NW;10819;6873;550;383;13,7;141396;79,566;39,6;3,5;5,1;6,8;90,26
Northern Cape: NC;NC;7755;4146;412;737;15,9;85079;68,301;3,7;9,5;5,3;6;86,72
Nquthu LM: KZN242;KZ;306;182;27;0;;;;;0;8,8;0;97,84
Ntabankulu LM: EC444;EC;422;243;35;38;;;;;9;8,3;;95,6
Nyandeni LM: EC155;EC;1566;750;68;95;;;;;6,1;4,3;0;97,34
Okhahlamba LM: KZN235;KZ;273;163;18;6;;;;;2,2;6,6;;96,4
OR Tambo DM: DC15;EC;8669;4652;375;530;4,7;87758;72,947;135,657;6,1;4,3;3,8;97,72
Oudtshoorn LM: WC045;WC;920;460;27;161;;;;;17,5;2,9;20;79,67
Overberg DM: DC3;WC;2695;1471;82;419;19,84;24086;94,461;26,715;15,5;3;0;89,4
Overstrand LM: WC032;WC;773;489;17;79;;;;;10,2;2,2;0;81,08
Phokwane LM: NC094;NC;547;312;27;57;;;;;10,4;4,9;;88,4
Phumelela LM: FS195;FS;49;45;7;6;;;;;12,2;14,3;;95,45
Pixley Ka Seme DM: DC7;NC;1319;741;78;133;14,12;12142;50,149;2,086;10,1;5,9;;91,35
Polokwane LM: LIM354;LP;1393;634;151;13;;;;;0,93;10,8;0;88,93
Port St Johns LM: EC154;EC;1196;692;65;87;;;;;7,3;5,4;0;98,93
Prince Albert LM: WC052;WC;211;113;6;39;;;;;18,5;2,8;0;93,33
R Moiloa LM: NW385;NW;261;171;14;13;;;;;5;5,4;0;94,05
Rand West City LM: GT485;GP;483;394;19;24;;;;;5;3,9;0;93,99
Ratlou LM: NW381;NW;348;281;13;2;;;;;0,57;3,7;0;95,65
Ray Nkonyeni LM: KZN216;KZ;1983;1043;73;93;;;;;4,7;3,7;0;97,01
Raymond Mhlaba LM: EC129;EC;1268;647;58;168;;;;;13,2;4,6;;93,36
Renosterberg LM: NC075;NC;82;65;3;1;;;;;1,2;3,7;;96,97
Richmond LM: KZN227;KZ;277;178;15;9;;;;;3,2;5,4;;96,88
Richtersveld LM: NC061;NC;106;49;4;17;;;;;16;3,8;;89,66
RS Mompati DM: DC39;NW;2006;1213;139;81;9,47;22356;66,315;10,867;4;6,9;8,3;95,95
Rustenburg LM: NW373;NW;1160;735;36;59;;;;;5,1;3,1;0;83,36
Sakhisizwe LM: EC138;EC;395;127;29;51;;;;;12,9;7,3;33,3;75,35
Saldanha Bay LM: WC014;WC;841;443;32;131;;;;;15,6;3,8;;89,66
Sarah Baartman DM: DC10;EC;5052;2738;209;691;10,3;52112;68,111;8,936;13,7;4,1;3,6;94,58
Sedibeng DM: DC42;GP;2762;1510;236;158;18,69;53822;182,777;254,054;5,7;8,5;13,3;97,17
Sekhukhune DM: DC47;LP;2001;1026;153;122;7,77;20245;105,189;97,423;6,1;7,6;10;82,01
Senqu LM: EC142;EC;466;291;33;28;;;;;6;7,1;0;94,03
Setsoto LM: FS191;FS;307;179;28;11;;;;;3,6;9,1;0;93,51
Siyancuma LM: NC078;NC;241;137;14;21;;;;;8,7;5,8;;93,98
Siyathemba LM: NC077;NC;183;118;7;12;;;;;6,6;3,8;;96,08
Sol Plaatje LM: NC091;NC;1592;813;65;160;;;;;10,1;4,1;7,5;88,31
South Africa: ZA;ZA;213950;118432;10316;17359;15,5;2991134;98,191;51,618;8,1;4,8;3,7;93,49
Stellenbosch LM: WC024;WC;1258;680;41;178;;;;;14,1;3,3;0;83,43
